"id","item","condition","correct"
1,1,1,1
1,9,1,1
1,10,1,0
1,4,1,0
1,2,2,0
1,8,2,0
1,12,2,1
1,11,2,1
1,6,3,1
1,5,3,1
1,7,3,0
1,3,3,1
2,1,1,0
2,9,1,0
2,10,1,1
2,4,1,1
2,2,2,1
2,8,2,1
2,12,2,1
2,11,2,1
2,6,3,1
2,5,3,1
2,7,3,1
2,3,3,1
3,1,1,1
3,9,1,1
3,10,1,1
3,4,1,1
3,2,2,1
3,8,2,1
3,12,2,1
3,11,2,1
3,6,3,1
3,5,3,1
3,7,3,1
3,3,3,1
4,1,1,0
4,9,1,0
4,10,1,0
4,4,1,0
4,2,2,0
4,8,2,0
4,12,2,0
4,11,2,0
4,6,3,0
4,5,3,0
4,7,3,1
4,3,3,0
5,1,1,0
5,9,1,0
5,10,1,0
5,4,1,0
5,2,2,1
5,8,2,1
5,12,2,1
5,11,2,1
5,6,3,0
5,5,3,1
5,7,3,1
5,3,3,1
6,1,1,0
6,9,1,0
6,10,1,1
6,4,1,1
6,2,2,0
6,8,2,0
6,12,2,0
6,11,2,0
6,6,3,1
6,5,3,1
6,7,3,0
6,3,3,0
7,1,1,0
7,9,1,0
7,10,1,1
7,4,1,1
7,2,2,1
7,8,2,1
7,12,2,1
7,11,2,1
7,6,3,1
7,5,3,1
7,7,3,1
7,3,3,1
8,1,1,1
8,9,1,1
8,10,1,1
8,4,1,0
8,2,2,0
8,8,2,1
8,12,2,1
8,11,2,1
8,6,3,0
8,5,3,1
8,7,3,1
8,3,3,1
9,1,1,0
9,9,1,0
9,10,1,0
9,4,1,0
9,2,2,0
9,8,2,0
9,12,2,0
9,11,2,0
9,6,3,0
9,5,3,0
9,7,3,0
9,3,3,0
10,1,1,0
10,9,1,0
10,10,1,0
10,4,1,0
10,2,2,0
10,8,2,0
10,12,2,0
10,11,2,0
10,6,3,0
10,5,3,0
10,7,3,0
10,3,3,0
11,1,1,0
11,9,1,1
11,10,1,1
11,4,1,1
11,2,2,1
11,8,2,1
11,12,2,1
11,11,2,1
11,6,3,1
11,5,3,1
11,7,3,1
11,3,3,1
12,1,1,0
12,9,1,0
12,10,1,0
12,4,1,1
12,2,2,1
12,8,2,1
12,12,2,1
12,11,2,0
12,6,3,1
12,5,3,0
12,7,3,1
